,000300.SH,000905.SH
2012-05-07,2717.778,3784.556
2012-05-08,2709.116,3783.472
2012-05-09,2657.514,3717.47
2012-05-10,2657.214,3731.131
2012-05-11,2636.917,3715.385
2012-05-14,2615.534,3710.097
2012-05-15,2617.374,3705.883
2012-05-16,2574.647,3660.312
2012-05-17,2613.942,3714.186
2012-05-18,2573.976,3655.858
2012-05-21,2587.231,3653.546
2012-05-22,2627.525,3711.055
2012-05-23,2616.869,3708.919
2012-05-24,2595.26,3678.093
2012-05-25,2573.103,3635.516
2012-05-28,2614.689,3687.455
2012-05-29,2650.854,3745.678
2012-05-30,2642.258,3752.219
2012-05-31,2632.042,3753.593
2012-06-01,2632.998,3744.437
2012-06-04,2559.026,3621.808
2012-06-05,2558.842,3617.614
2012-06-06,2557.401,3600.163
2012-06-07,2542.184,3581.137
2012-06-08,2524.329,3564.158
2012-06-11,2558.265,3630.314
2012-06-12,2540.178,3608.391
2012-06-13,2580.636,3674.875
2012-06-14,2560.421,3652.705
2012-06-15,2568.054,3648.994
2012-06-18,2581.212,3684.727
2012-06-19,2558.621,3657.958
2012-06-20,2552.611,3636.09
2012-06-21,2512.185,3590.837
2012-06-25,2456.518,3493.116
2012-06-26,2454.915,3489.972
2012-06-27,2447.195,3476.403
2012-06-28,2425.729,3427.819
2012-06-29,2461.612,3470.965
2012-07-02,2465.238,3509.503
2012-07-03,2468.721,3515.778
2012-07-04,2464.919,3497.748
2012-07-05,2430.37,3418.202
2012-07-06,2472.614,3486.546
2012-07-09,2416.036,3398.805
2012-07-10,2406.706,3365.665
2012-07-11,2425.572,3404.104
2012-07-12,2449.181,3450.302
2012-07-13,2450.633,3435.084
2012-07-16,2399.731,3311.089
2012-07-17,2414.201,3334.286
2012-07-18,2414.335,3352.848
2012-07-19,2424.322,3392.656
2012-07-20,2398.455,3369.913
2012-07-23,2365.431,3337.856
2012-07-24,2375.992,3361.09
2012-07-25,2360.083,3332.085
2012-07-26,2347.488,3302.336
2012-07-27,2349.108,3283.592
2012-07-30,2335.793,3217.452
2012-07-31,2332.922,3159.192
2012-08-01,2358.651,3216.184
2012-08-02,2334.882,3195.863
2012-08-03,2353.737,3259.856
2012-08-06,2385.611,3337.267
2012-08-07,2388.873,3368.252
2012-08-08,2389.795,3356.485
2012-08-09,2411.7,3405.058
2012-08-10,2399.751,3395.849
2012-08-13,2351.931,3318.1
2012-08-14,2357.016,3349.585
2012-08-15,2331.615,3310.839
2012-08-16,2319.67,3286.828
2012-08-17,2313.476,3286.778
2012-08-20,2301.788,3289.439
2012-08-21,2313.703,3335.753
2012-08-22,2295.586,3306.111
2012-08-23,2302.199,3327.99
2012-08-24,2275.677,3265.749
2012-08-27,2228.204,3184.331
2012-08-28,2238.411,3200.993
2012-08-29,2214.814,3179.54
2012-08-30,2211.37,3129.495
2012-08-31,2204.868,3139.5
2012-09-03,2228.369,3200.306
2012-09-04,2204.407,3164.826
2012-09-05,2199.875,3181.8
2012-09-06,2217.823,3217.936
2012-09-07,2317.179,3334.66
2012-09-10,2326.666,3363.605
2012-09-11,2311.89,3350.088
2012-09-12,2320.071,3376.122
2012-09-13,2298.461,3329.299
2012-09-14,2315.542,3338.038
2012-09-17,2258.705,3237.704
2012-09-18,2235.239,3224.259
2012-09-19,2246.236,3255.866
2012-09-20,2195.951,3161.763
2012-09-21,2199.063,3143.71
2012-09-24,2215.516,3167.161
2012-09-25,2210.154,3144.408
2012-09-26,2184.891,3071.989
2012-09-27,2251.717,3141.082
2012-09-28,2293.106,3199.752
2012-10-08,2270.054,3183.365
2012-10-09,2320.157,3265.617
2012-10-10,2324.117,3296.923
2012-10-11,2302.533,3248.045
2012-10-12,2304.531,3240.399
2012-10-15,2294.857,3223.189
2012-10-16,2298.162,3233.229
2012-10-17,2300.803,3240.778
2012-10-18,2336.077,3294.835
2012-10-19,2332.47,3285.445
2012-10-22,2341.592,3298.488
2012-10-23,2312.077,3259.067
2012-10-24,2307.779,3257.921
2012-10-25,2291.239,3226.172
2012-10-26,2247.907,3163.295
2012-10-29,2235.854,3158.943
2012-10-30,2239.882,3160.687
2012-10-31,2254.82,3168.097
2012-11-01,2297.884,3228.19
2012-11-02,2306.774,3249.552
2012-11-05,2301.88,3235.352
2012-11-06,2292.206,3213.26
2012-11-07,2287.505,3209.141
2012-11-08,2245.405,3129.568
2012-11-09,2240.924,3116.978
2012-11-12,2251.848,3136.308
2012-11-13,2212.44,3072.121
2012-11-14,2223.11,3081.254
2012-11-15,2193.623,3026.844
2012-11-16,2177.24,3009.153
2012-11-19,2174.985,3016.159
2012-11-20,2164.881,3004.183
2012-11-21,2194.896,3035.282
2012-11-22,2177.546,2995.093
2012-11-23,2192.676,3005.459
2012-11-26,2175.599,2970.323
2012-11-27,2150.638,2864.169
2012-11-28,2129.161,2800.537
2012-11-29,2115.676,2774.176
2012-11-30,2139.661,2816.624
2012-12-03,2108.85,2749.134
2012-12-04,2131.473,2783.412
2012-12-05,2207.878,2886.186
2012-12-06,2203.602,2884.348
2012-12-07,2246.757,2950.193
2012-12-10,2271.046,3002.231
2012-12-11,2258.5,2982.027
2012-12-12,2267.767,2982.885
2012-12-13,2242.635,2943.276
2012-12-14,2355.865,3066.231
2012-12-17,2366.7,3091.875
2012-12-18,2368.12,3086.584
2012-12-19,2371.109,3099.092
2012-12-20,2384.816,3108.86
2012-12-21,2372.002,3101.074
2012-12-24,2381.217,3117.698
2012-12-25,2448.395,3189.088
2012-12-26,2457.619,3228.675
2012-12-27,2444.594,3199.481
2012-12-28,2480.049,3235.195
